facility_id,facility_name,source_facility_type,normalized_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_formatted_address,csd_name,csd_uid,province_uid,latitude,longitude,source_url,retrieved_at,record_content_hash
odhf-S1202,AIRE OUVERTE SAURIOL,CLSC,Ambulatory health care services,Province of Québec,,2169,rue sauriol e,H2B 1G1,montréal,qc,"2169, rue Sauriol E",Montréal,2466023.0,24,45.570888000000004,-73.647774,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,10328fe44c6afc04bc7b59e5ba1e4f9c5333ff2233361f2907c7e16dda19d3a0
odhf-S756,APPARTEMENT SUPERVISÉ WILSON,CRJDA,Nursing and residential care facilities,Province of Québec,,2291,avenue wilson,H4A 2T4,montréal,qc,"2291, avenue Wilson",Montréal,2466023.0,24,45.469889,-73.614839,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,d6be33e641f84119f0fd6e109d3f2b2684e6e4a6f197b616f0fb5ea4527379b8
odhf-S829,ATELIER DE TRAVAIL CHAMP D'EAU,CRDITED,Ambulatory health care services,Province of Québec,,9125,rue pascal-gagnon,H1P 1Z4,montréal,qc,"9125, rue Pascal-Gagnon, bureau 106",Montréal,2466023.0,24,45.606879,-73.5974,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,5a51c7a56fbad203a9bcf5f86f8bf8a8fb8af00fa99679fdb84064eff5462d09
odhf-S1553,ATELIER DE TRAVAIL ET CENTRE D'ACTIVITES DE JOUR BENNY,CRDITED,Ambulatory health care services,Province of Québec,,2221,avenue benny,H4B 2R5,montréal,qc,"2221, avenue Benny",Montréal,2466023.0,24,45.463735,-73.623497,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,13222afe10bb496c0203d86870753b9aac7482d2ea74539ef0d907eebedbd2d0
odhf-S755,ATELIER DE TRAVAIL NOVATEK,CRDITED,Ambulatory health care services,Province of Québec,,2445,rue léger,H8N 2V7,montréal,qc,"2445, rue Léger",Montréal,2466023.0,24,45.444333,-73.62477700000001,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,00bf2f3015d4db3cacde6a8ee948d65ca459239b430833338bbcdb0f62e9c76b
odhf-S823,ATELIER DE TRAVAIL ONTARIO,CRDITED,Ambulatory health care services,Province of Québec,,4532,rue ontario est,H1V 1K7,montréal,qc,"4532, rue Ontario Est",Montréal,2466023.0,24,45.554625,-73.538072,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,950347fe51ba85d2bde186f06d9660b557e6b0d7eff29a6cc02826d3bfacf2c9
odhf-S1530,ATELIER DE TRAVAIL UNI,CRDITED,Ambulatory health care services,Province of Québec,,2425,rue dandurand,H2G 2A1,montréal,qc,"2425, rue Dandurand",Montréal,2466023.0,24,45.544067999999996,-73.581352,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,5c5ecbce44a6b2758ba1cde975f380c9750fc0db8e8fc89d8513a5c9947635bf
odhf-S828,ATELIER DE TRAVAIL ÉDISON,CRDITED,Ambulatory health care services,Province of Québec,,9181,rue édison,H1J 1T4,montréal,qc,"9181, rue Édison",Montréal,2466023.0,24,45.613141999999996,-73.57,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,a1d672032f4e463fc561dc4e4b9256480ea2665318cd031ec094945707dd352a
odhf-S364,ATELIER DES MERVEILLES,CRDITED,Ambulatory health care services,Province of Québec,,75,rue de port-royal est,H3L 3T1,montréal,qc,"75, rue de Port-Royal Est",Montréal,2466023.0,24,45.547775,-73.656786,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,6b1d3bdb179a4808ff272c39eacbdf2dbe697b721e00d3716b5f1f6810200674
odhf-S1411,ATELIER LE FIL D'ARIANE,CRDITED,Ambulatory health care services,Province of Québec,,4837,rue boyer,H2J 3E6,montréal,qc,"4837, rue Boyer, app. 100",Montréal,2466023.0,24,45.529451,-73.583838,https://www150.statcan.gc.ca/n1/en/pub/13-26-0001/2020001/ODHF_v1.1.zip,2026-06-12T17:58:38+00:00,a33df630735db3c74413845f0edbe40d470cd1f26c5154435ab76565a41532e2
