record_id,category,record_type,action_title,section,source_page_title,source_page_url,linked_resource_title,linked_resource_url,linked_resource_agency,deep_parsed,source_last_updated,retrieved_at,requires_human_review,source_content_hash,record_content_hash
e9c76c72ad6a3ada0bba,employment,hub_action,Emplois en région,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,886a1befecc61d6470f30a1836aa9843763ebbada03c99ba1603b5e0ad51269f
4fdca514447313338f4b,employment,hub_action,If the trade or profession you want to practice is regulated in Québec,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,9d98177b45ab434455a082df4710919dfc83bed3133f88e8837d597c85c052e3
efec44ac2ad1c8a185cf,employment,hub_action,If the trade or profession you wish to pursue is not regulated in Quebec,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,cf5ddba2a0e377f037177ae0f56cacee33e098f86d195cd6548c7dc7701e381c
3a49eeeef4665eef91cc,employment,hub_action,Know your employment rights and obligations,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,89adc2b820ed1b7e13b350316e489cf850db8e592636008db0aa49fa1786e7ed
a403b92eaa0de747f18b,employment,hub_action,Portrait of the Quebec labor market,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,73cc505f628202ddcbeb6f0fa0dcb01058421dc1163f81b08c6d60424abe3a28
6a8f092da96aa406f9a4,employment,hub_action,Searching for a job,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,,,Gouvernement du Québec,true,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,5e018514c6c38ed5f2fe2b045b5f6781a5c715a90ec1c42322dd928aaed65a85
2ba9557c1fbbce4abfed,employment,linked_resource,begin your job search in your field and apply directly to employers,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,begin your job search in your field and apply directly to employers,https://www.quebec.ca/en/employment/find-job-internship/view-job-offers,Gouvernement du Québec,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,4111da85fc96dbce2a314c5144d0585c918f73d276d49581f249afcd3487e40b
3e4eb6c5980dfca51bd0,employment,linked_resource,CNESST,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,CNESST,https://www.cnesst.gouv.qc.ca/en,CNESST,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,8ddc618b606d0c4b918ad2ec10c8596da5528543a85e6df04c7f5138a9ec3810
4c68be58cb1449d3c0e9,employment,linked_resource,Emplois en région,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Emplois en région,https://emploisenregions.ca,emploisenregions.ca,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,109fefe2b9b0c0543c49d0ea15a9b93327b90576caf663d181d8b163469ca538
f98bb4b236ca39dc7fef,employment,linked_resource,Getting Information about the Labour Market,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,Getting Information about the Labour Market,https://www.quebec.ca/en/employment/learn-trade-occupation/labour-market,Gouvernement du Québec,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,a1ad6194b72757fd60de3c1bc6cb86c947f2c3b9a358d7a6b4fad87501523577
a5c04c58b61028cea886,employment,linked_resource,I am an immigrant or temporary foreign worker,Employment,Settle and integrate in Québec,https://www.quebec.ca/en/immigration/settle-and-integrate-in-quebec,I am an immigrant or temporary foreign worker,https://www.cnesst.gouv.qc.ca/en/life-events/immigrant-worker-temporary-foreign-worker,CNESST,false,"June 10, 2026",2026-06-12T17:58:32+00:00,true,1026af83fa85936a9a0a7b99f5b5234befcd76a9be170c4a15f29cbc69be5b04,b01b0a8f639166695f332607b77d20d812d6eb88d47a13564553731b2476cc2f
