name,detail_url,listing_address,listing_languages,map_url,listing_website,services,regular_staff_languages,casual_volunteer_languages,reduced_mobility_access,daycare,contact_hours,phone,email,website,address,holiday_period,territory_covered,administrative_region,municipality,source_last_updated
ABL Accès Accueil Action,https://www.quebec.ca/en/immigration/partners/155/abl-acces-accueil-action,"184, rue Saint-Eustache Saint-Eustache (Laurentides) J7R 2L7 Tel. : 514 570-3313","Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Roumain, Batoufam, Bankondji","https://www.google.ca/maps/place/184+Rue+Saint-Eustache,+Saint-Eustache,+QC+J7R+2L7/@45.5582506,-73.8959556,17z/data=!3m1!4b1!4m6!3m5!1s0x4cc9257e00a9ea8b:0xb751762efa731301!8m2!3d45.5582469!4d-73.8937669!16s%2Fg%2F11b8v6l0xx",https://www.abl-immigration.org,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Jumelage interculturel | Espace Parents | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Roumain, Batoufam, Bankondji","Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Mandarin, Perse, Kurde, Wolof, Arménien, Hindi, Punjabi, Créole, Turc",Yes,,Du lundi au jeudi de 9 h à 16 h et vendredi de 9 h à 15 h.,514-570-3313,ablimmigration@gmail.com,http://www.abl-immigration.org,"184, rue Saint-Eustache Saint-Eustache (Québec) J7R 2L7 Voir sur la carte",Bureau fermé du 23 décembre au 2 janvier. Une veille sur les courriels et le téléphone est effectuée durant cette période de fermeture.,MRC Deux-Montagnes et MRC Thérèse-De-Blainville et Mirabel (15 villes).,Laurentides,Saint-Eustache,"June 10, 2025"
ABL Accès Accueil Action,https://www.quebec.ca/en/immigration/partners/181/abl-acces-accueil-action,"6, rue de l’Église, 3e étage Sainte-Thérèse (Laurentides) J7E 3L1 Tel. : 514 570-3313","Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Roumain, Batoufam, Bankondji","https://www.google.com/maps/place/6+Rue+de+l'Eglise,+Sainte-Th%C3%A9r%C3%A8se,+QC+J7E+1W9/@45.6401704,-73.8431629,16z/data=!4m6!3m5!1s0x4cc927d6f93068b7:0x577123026fc2357d!8m2!3d45.6401704!4d-73.8431629!16s%2Fg%2F11b8vcqkxm?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",https://www.abl-immigration.org,"Accueil, installation, intégration, renseignement et référence | Jumelage interculturel | Session Objectif intégration | Espace Parents | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Espagnol, Arabe, Berbère, Portugais, Russe, Ukrainien, Roumain, Batoufam, Bankondji","Français, Anglais, Espagnol, Arabe, Berbère, Russe, Mandarin, Perse, Kurde, Wolof, Arménien, Hindi, Punjabi, Ukrainien, Portugais, Créole, Turc,",Yes,,Du lundi au jeudi de 9 h à 16 h et vendredi de 9 h à 15 h.,514 5703313,ablimmigration@gmail.com,http://www.abl-immigration.org,"6, rue de l’Église, 3e étage Sainte-Thérèse (Québec) J7E 3L1 Voir sur la carte",Bureau fermé du 23 décembre au 2 janvier. Une veille sur les courriels et le téléphone est effectuée durant cette période de fermeture.,MRC Deux-Montagnes et MRC Thérèse-De-Blainville et Mirabel (15 villes).,Laurentides,Sainte-Thérèse,"June 10, 2025"
Accompagnement des Femmes Immigrantes de l'Outaouais (AFIO),https://www.quebec.ca/en/immigration/partners/3/accompagnement-des-femmes-immigrantes-de-loutaouais-afio,"009-109, rue Wright Gatineau (Outaouais) J8X 2G7 Tel. : 819 776-6764 Fax : 819 776-5617","Français, Anglais, Arabe, Lingala, Créole, Kikongo, Tamoul, Mandarin, Allemand, Espagnol, Farsi, Swahili","http://maps.google.ca/maps?q=google.com/maps/place/109+Rue+Wright,+Gatineau,+QC+J8X+2G7/data=!4m2!3m1!1s0x4cce04f52e130017:0x732606b214e8788?sa=X&ved=1t:242&ictx=111, rue Wright, local 009 Gatineau, Québec J8X2G7",https://www.afio.ca,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Intervenant communautaire interculturel (ICI) - Femmes | Jumelage interculturel | Espace Parents | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Arabe, Lingala, Créole, Kikongo, Tamoul, Mandarin, Allemand, Espagnol, Farsi, Swahili","Français, Mandarin, Espagnol, Hindi, Coréen, Allemand, Bulgare, Russe, Portugais, Créole, Somali, Anglais, Arabe",No,Available on site,"Du lundi au vendredi de 8 h 30 à 12 h et de 13 h à 16 h 30, jeudi de 16 h 30 à 18 h 30. Le vendredi les bureaux ferment à 13 h pendant la période estival.",819-776-6764,direction@afio.ca,http://www.afio.ca,"009-109, rue Wright Gatineau (Québec) J8X 2G7 Voir sur la carte",Bureau fermé entre Noël et le jour de l'An,MRC des Collines-de-l'Outaouais; MRC de la Vallée-de-la-Gatineau; MRC de Pontiac; MRC de Papineau; Ville de Gatineau,Outaouais,Gatineau,"June 10, 2025"
Accueil aux Immigrants de l'Est de Montréal (Pointe-Aux-Trembles),https://www.quebec.ca/en/immigration/partners/6/accueil-aux-immigrants-de-lest-de-montreal-pointe-aux-trembles,"14115, rue Prince-Arthur Montréal (Montréal) H1A 1A8 Tel. : 514 788-4343 Fax : 514 723-3619","Français, Anglais, Espagnol","https://www.google.com/maps/place/14115+Rue+Prince-Arthur,+Pointe-aux-Trembles,+QC+H1A+1A8/@45.6710556,-73.5118366,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8e17d2a88bb97:0x957eec1445664b6e!8m2!3d45.6710556!4d-73.5096479",https://www.aiemont.com,"Accueil, installation, intégration, renseignement et référence | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais , Espagnol","Français, Anglais , Espagnol",Yes,,Du lundi au vendredi de 8 h à 17 h.,514-788-4343,aiem@qc.aira.com,http://www.aiemont.com,"14115, rue Prince-Arthur Montréal (Québec) H1A 1A8 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,Saint-Léonard; Anjou; Pointe-aux-Trembles; Rivière-des-Prairies; Mercier-Est; Mercier Ouest,Montréal,Montréal,"June 10, 2025"
Accueil aux Immigrants de l'Est de Montréal (Rivière-Des-Prairies),https://www.quebec.ca/en/immigration/partners/7/accueil-aux-immigrants-de-lest-de-montreal-riviere-des-prairies,"9001, boulevard Perras Montréal (Montréal) H1E 3J7 Tel. : 514 872-0107 Fax : 514 723-3619","Français, Anglais, Espagnol, Créole","https://www.google.com/maps/place/9001+Boulevard+Perras,+Montr%C3%A9al,+QC+H1E+3J7/@45.6497644,-73.5811602,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc8e034333e644f:0x161b89fbffa7892e!8m2!3d45.6497644!4d-73.5789715",https://www.aiemont.com,"Accueil, installation, intégration, renseignement et référence | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Espagnol, Créole","Français, Anglais, Espagnol, Créole",Yes,,Du lundi au vendredi de 10 h à 17 h.,514-872-0107,aiem@qc.aira.com,http://www.aiemont.com,"9001, boulevard Perras Montréal (Québec) H1E 3J7 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,Saint-Léonard; Anjou; Pointe-aux-Trembles; Rivière-des-Prairies; Mercier-Est; Mercier Ouest,Montréal,Montréal,"June 10, 2025"
Accueil aux Immigrants de l'Est de Montréal (St-Léonard),https://www.quebec.ca/en/immigration/partners/4/accueil-aux-immigrants-de-lest-de-montreal-st-leonard,"209-5960, rue Jean-Talon Est Montréal (Montréal) H1S 1M2 Tel. : 514 723-4939 Fax : 514 723-3619","Français, Anglais, Espagnol, Arabe (Algérie, Maroc, et international), Kabyle, Créole, Polonais, Peul, Wolof, Soussou, Malinké, Fon, Moré, Mossi","https://www.google.com/maps/place/5960+Rue+Jean-Talon+E,+Saint-L%C3%A9onard,+QC+H1S+1M2/data=!4m2!3m1!1s0x4cc91e8da470dd2d:0x27010ef87f816982?sa=X&ved=1t:242&ictx=111",https://www.aiemont.com,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Intervenant communautaire interculturel (ICI) - Femmes | Jumelage interculturel | Espace Parents | Personne ayant demandé l'asile (DA) - Recherche de logement | Jumelage interculturel","Français, Anglais, Espagnol, Arabe (Algérie, Maroc, et international), Kabyle, Créole, Polonais, Peul, Wolof, Soussou, Malinké, Fon, Moré, Mossi","Français, Anglais, Espagnol, Ukrainien, Arabe International, Portugais",Yes,Available on site,Du lundi au dimanche de 8 h à 17 h.,514-723-4939,aiem@qc.aira.com,http://www.aiemont.com,"209-5960, rue Jean-Talon Est Montréal (Québec) H1S 1M2 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,Saint-Léonard; Anjou; Pointe-aux-Trembles; Rivière-des-Prairies; Mercier-Est; Mercier Ouest,Montréal,Montréal,"June 10, 2025"
Accueil et Intégration BSL Inc.,https://www.quebec.ca/en/immigration/partners/216/accueil-et-integration-bsl-inc,"1534, boulevard Jacques-Cartier Mont-Joli (Bas-Saint-Laurent) G5H 2V8 Tel. : 418 775-8445 Fax : 418 730-6737","Français, Anglais","https://www.google.com/maps/place/1534+Bd+Jacques+-+Cartier,+Mont-Joli,+QC+G5H+2V8/@48.5872289,-68.1925962,890m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4c968753256a592d:0xf49fd98bce0c1882!8m2!3d48.5872289!4d-68.1900213!16s%2Fg%2F11c1xr3430?entry=ttu&g_ep=EgoyMDI1MDkyMy4wIKXMDSoASAFQAw%3D%3D",https://www.aibsl.org,"Accueil, installation, intégration, renseignement et référence | Jumelage interculturel","Français, Anglais","Français, Anglais, Espagnol, Créole (Haitien), Lingala, Arabe, Wolof, Sango, Swahili, Zarma, Vietnamien, Mina",Yes,,Du lundi au vendredi de 9 h à 12 h et de 13 h à 16 h.,418-775-8445,immigration@aibsl.org,http://www.aibsl.org,"1534, boulevard Jacques-Cartier Mont-Joli (Québec) G5H 2V8 Voir sur la carte",Bureau fermé 2 semaines pendant le temps de fêtes,Les municipalités de la MRC de La Mitis,Bas-Saint-Laurent,Mont-Joli,"June 10, 2025"
Accueil et Intégration BSL Inc.,https://www.quebec.ca/en/immigration/partners/9/accueil-et-integration-bsl-inc,"192, rue Saint-Germain Est Rimouski (Bas-Saint-Laurent) G5L 1A8 Tel. : 581 824-1662 Fax : 418 730-6737","Français, Anglais, Espagnol, Arabe, Wolof, Haoussa, Sonrai, Polonais, Italien",https://goo.gl/maps/aVGBK6yDLvEWarG1A,https://www.aibsl.org,"Accueil, installation, intégration, renseignement et référence | Session Objectif intégration | Jumelage interculturel | Installation et accompagnement des personnes réfugiées prises en charge par l'État | Intervenant communautaire interculturel (ICI) Santé-Scolaire-Petite enfance-Jeunesse | Intervenant communautaire interculturel (ICI) - Femmes | Espace Parents","Français, Anglais, Espagnol,Arabe, Wolof, Haoussa, Sonrai, Polonais, Italien","Français, Anglais, Espagnol, Lingala, Sango, Swahili, Kirundi, Kinyarwanda, Créole (Haitien), Wolof",Yes,Available on site,Du lundi au vendredi de 9 h à 12 h et de 13 h à 16 h.,581-824-1662,accueil@aibsl.org,http://www.aibsl.org,"192, rue Saint-Germain Est Rimouski (Québec) G5L 1A8 Voir sur la carte",Bureau fermé 2 semaines pendant le temps de fêtes,MRC Rimouski-Neigette,Bas-Saint-Laurent,Rimouski,"June 10, 2025"
Accueil pour Immigrants et Réfugiés Du Sud-ouest de Montréal Centre PRISME,https://www.quebec.ca/en/immigration/partners/11/accueil-pour-immigrants-et-refugies-du-sud-ouest-de-montreal-centre-prisme,"110-414, avenue Lafleur Montréal (Montréal) H8R 3H6 Tel. : 514 364-0939 Fax : 514 364-9992","Français, Anglais, Espagnol, Serbe, Russe, Punjabi, Arabe, Bulgare, Moldave, Hindi","http://maps.google.ca/maps?q=414, rue Lafleur, bureau 1.10 Montréal, Québec H8R3H6",https://www.airsomprisme.org,"Accueil, installation, intégration, renseignement et référence | Personne ayant demandé l'asile (DA) - Recherche de logement","Français, Anglais, Espagnol, Serbe, Russe, Punjabi, Arabe, Bulgare, Moldave, Hindi","Français, Anglais, Punjabi, Espagnol",,,"Du lundi au vendredi de 8 h 30 à 12 h et de 13 h à 16 h 30, et de 17 h 30 à 21 h 30.",514-364-0939,info@airsomprisme.org,http://www.airsomprisme.org,"110-414, avenue Lafleur Montréal (Québec) H8R 3H6 Voir sur la carte",Bureau fermé 2 semaines durant la période de Noël et du jour de l'An,"Sud-Ouest de Montréal (LaSalle, Lachine et Ville-Émard)",Montréal,Montréal,"June 10, 2025"
Accueil-Parrainage Outaouais,https://www.quebec.ca/en/immigration/partners/12/accueil-parrainage-outaouais,"124, rue Jeanne-d'Arc Gatineau (Outaouais) J8Y 2H7 Tel. : 819 777-2960 Fax : 819 777-1739","Français, Anglais, Espagnol, Swahili, Italien, Dari, Kirundi, Croate, Farsi","http://maps.google.ca/maps?q=124, rue Jeanne-d'Arc Gatineau, Québec J8Y2H7",https://www.apo-qc.org,"Accueil, installation, intégration, renseignement et référence | Jumelage interculturel | Installation et accompagnement des personnes réfugiées prises en charge par l'État | Personne ayant demandé l'asile (DA) - Recherche de logement | Intervenant communautaire interculturel (ICI) Santé-Scolaire-Petite enfance-Jeunesse | Séances d'information pour les DA","Français, Anglais, Espagnol, Swahili, Italien, Dari, Kirundi, Croate, Farsi","Français, Anglais",,,Du lundi au vendredi de 8 h 30 à 16 h 30.,819-777-2960,direction@apo-qc.org,http://www.apo-qc.org,"124, rue Jeanne-d'Arc Gatineau (Québec) J8Y 2H7 Voir sur la carte",Services offerts toute l'année,MRC des Collines-de-l'Outaouais; MRC de la Vallée-de-la-Gatineau; MRC de Pontiac; MRC de Papineau; Ville de Gatineau,Outaouais,Gatineau,"June 10, 2025"
